ta2Id,name,chapter,class,kind,match,meshCount,meshes
1,"General terms",1,general,,n/a,0,""
2,"Vertical",1,general,,n/a,0,""
3,"Horizontal",1,general,,n/a,0,""
4,"Median",1,general,,n/a,0,""
5,"Coronal",1,general,,n/a,0,""
6,"Sagittal",1,general,,n/a,0,""
7,"Right",1,general,,n/a,0,""
8,"Left",1,general,,n/a,0,""
9,"Intermediate",1,general,,n/a,0,""
10,"Medial",1,general,,n/a,0,""
11,"Lateral",1,general,,n/a,0,""
12,"Anterior",1,general,,n/a,0,""
13,"Posterior",1,general,,n/a,0,""
14,"Ventral",1,general,,n/a,0,""
15,"Dorsal",1,general,,n/a,0,""
16,"Frontal",1,general,,n/a,0,""
17,"Occipital",1,general,,n/a,0,""
18,"Superior",1,general,,n/a,0,""
19,"Inferior",1,general,,n/a,0,""
20,"Cranial",1,general,,n/a,0,""
21,"Caudal",1,general,,n/a,0,""
22,"Rostral",1,general,,n/a,0,""
23,"Apical",1,general,,n/a,0,""
24,"Basal",1,general,,n/a,0,""
25,"Middle",1,general,,n/a,0,""
26,"Transverse",1,general,,n/a,0,""
27,"Longitudinal",1,general,,n/a,0,""
28,"Axial",1,general,,n/a,0,""
29,"External",1,general,,n/a,0,""
30,"Internal",1,general,,n/a,0,""
31,"Luminal",1,general,,n/a,0,""
32,"Superficial",1,general,,n/a,0,""
33,"Deep",1,general,,n/a,0,""
34,"Proximal",1,general,,n/a,0,""
35,"Distal",1,general,,n/a,0,""
36,"Central",1,general,,n/a,0,""
37,"Peripheral",1,general,,n/a,0,""
38,"Radial",1,general,,n/a,0,""
39,"Ulnar",1,general,,n/a,0,""
40,"Fibular",1,general,,n/a,0,""
41,"Tibial",1,general,,n/a,0,""
42,"Palmar",1,general,,n/a,0,""
43,"Plantar",1,general,,n/a,0,""
44,"Flexor",1,general,,n/a,0,""
45,"Extensor",1,general,,n/a,0,""
46,"Reference planes",1,general,,n/a,0,""
47,"Longitudinal planes",1,general,,n/a,0,""
48,"Coronal planes",1,general,,n/a,0,""
49,"Sagittal planes",1,general,,n/a,0,""
50,"Median plane",1,general,,n/a,0,""
51,"Paramedian plane",1,general,,n/a,0,""
52,"Transverse planes",1,general,,n/a,0,""
53,"Transpyloric plane",1,general,,n/a,0,""
54,"Subcostal plane",1,general,,n/a,0,""
55,"Transumbilical plane",1,general,,n/a,0,""
56,"Supracristal plane",1,general,,n/a,0,""
57,"Intertubercular plane",1,general,,n/a,0,""
58,"Interspinous plane",1,general,,n/a,0,""
59,"Reference lines",1,general,,n/a,0,""
60,"Anterior median line",1,general,,n/a,0,""
61,"Sternal line",1,general,,n/a,0,""
62,"Parasternal line",1,general,,n/a,0,""
63,"Midclavicular line",1,general,,n/a,0,""
64,"Mammillary line",1,general,,n/a,0,""
65,"Anterior axillary line",1,general,,n/a,0,""
66,"Midaxillary line",1,general,,n/a,0,""
67,"Posterior axillary line",1,general,,n/a,0,""
68,"Scapular line",1,general,,n/a,0,""
69,"Paravertebral line",1,general,,n/a,0,""
70,"Posterior median line",1,general,,n/a,0,""
71,"Human body positions",1,general,,n/a,0,""
72,"Anatomical position",1,general,,n/a,0,""
73,"Comparative anatomical position",1,general,,n/a,0,""
74,"Prone position",1,general,,n/a,0,""
75,"Supine position",1,general,,n/a,0,""
76,"Movements",1,general,,n/a,0,""
77,"Abduction",1,general,,n/a,0,""
78,"Adduction",1,general,,n/a,0,""
79,"Lateral rotation",1,general,,n/a,0,""
80,"Medial rotation",1,general,,n/a,0,""
81,"Circumduction",1,general,,n/a,0,""
82,"Flexion",1,general,,n/a,0,""
83,"Extension",1,general,,n/a,0,""
84,"Pronation",1,general,,n/a,0,""
85,"Supination",1,general,,n/a,0,""
86,"Opposition",1,general,,n/a,0,""
87,"Reposition",1,general,,n/a,0,""
88,"Plantar flexion",1,general,,n/a,0,""
89,"Dorsiflexion",1,general,,n/a,0,""
90,"Elevation",1,general,,n/a,0,""
91,"Depression",1,general,,n/a,0,""
92,"Eversion",1,general,,n/a,0,""
93,"Inversion",1,general,,n/a,0,""
94,"Protraction",1,general,,n/a,0,""
95,"Retraction",1,general,,n/a,0,""
96,"Human body",1,general,,n/a,0,""
97,"Parts of human body",1,general,,n/a,0,""
98,"Head",1,general,,n/a,0,""
99,"Neurocranial part of head",1,general,,n/a,0,""
100,"Cranial cavity",1,general,,n/a,0,""
101,"Forehead",1,general,,n/a,0,""
102,"Occiput",1,general,,n/a,0,""
103,"Temple",1,general,,n/a,0,""
104,"Auricle",1,general,,n/a,0,""
105,"Lobule of auricle",1,general,,n/a,0,""
106,"Helix",1,general,,n/a,0,""
107,"Crus of helix",1,general,,n/a,0,""
108,"Antihelix",1,general,,n/a,0,""
109,"Crura of antihelix",1,general,,n/a,0,""
110,"Antitragus",1,general,,n/a,0,""
111,"Tragus",1,general,,n/a,0,""
112,"Face",1,general,,n/a,0,""
113,"Eye",1,general,,n/a,0,""
114,"Upper eyelid",1,general,,n/a,0,""
115,"Lower eyelid",1,general,,n/a,0,""
116,"Cheek",1,general,,n/a,0,""
117,"External nose",1,general,,n/a,0,""
118,"Ala of nose",1,general,,n/a,0,""
119,"Mouth",1,general,,n/a,0,""
120,"Upper lip",1,general,,n/a,0,""
121,"Lower lip",1,general,,n/a,0,""
122,"Chin",1,general,,n/a,0,""
123,"Neck",1,general,,n/a,0,""
124,"Trunk",1,general,,n/a,0,""
125,"Thorax",1,general,,n/a,0,""
126,"Thoracic cavity",1,general,,n/a,0,""
127,"Abdomen",1,general,,n/a,0,""
128,"Abdominal cavity",1,general,,n/a,0,""
129,"Pelvis",1,general,,n/a,0,""
130,"Pelvic cavity",1,general,,n/a,0,""
131,"Perineum",1,general,,n/a,0,""
132,"Anterior trunk",1,general,,n/a,0,""
133,"Anterolateral thoracic wall",1,general,,n/a,0,""
134,"Anterolateral abdominal wall",1,general,,n/a,0,""
135,"Back",1,general,,n/a,0,""
136,"Back of thorax",1,general,,n/a,0,""
137,"Back of abdomen",1,general,,n/a,0,""
138,"Upper limb",1,general,,n/a,0,""
139,"Shoulder",1,general,,n/a,0,""
140,"Axilla",1,general,,n/a,0,""
141,"Anterior axillary fold",1,general,,n/a,0,""
142,"Posterior axillary fold",1,general,,n/a,0,""
143,"Free part of upper limb",1,general,,n/a,0,""
144,"Arm",1,general,,n/a,0,""
145,"Elbow",1,general,,n/a,0,""
146,"Forearm",1,general,,n/a,0,""
147,"Wrist",1,general,,n/a,0,""
148,"Hand",1,general,,n/a,0,""
149,"Metacarpus",1,general,,n/a,0,""
150,"Digits of hand",1,general,,n/a,0,""
151,"Thumb",1,general,,n/a,0,""
152,"Index finger",1,general,,n/a,0,""
153,"Middle finger",1,general,,n/a,0,""
154,"Ring finger",1,general,,n/a,0,""
155,"Little finger",1,general,,n/a,0,""
156,"Lower limb",1,general,,n/a,0,""
157,"Buttock",1,general,,n/a,0,""
158,"Hip",1,general,,n/a,0,""
159,"Free part of lower limb",1,general,,n/a,0,""
160,"Thigh",1,general,,n/a,0,""
161,"Knee",1,general,,n/a,0,""
162,"Posterior part of knee",1,general,,n/a,0,""
163,"Leg",1,general,,n/a,0,""
164,"Calf",1,general,,n/a,0,""
165,"Ankle",1,general,,n/a,0,""
166,"Foot",1,general,,n/a,0,""
167,"Heel",1,general,,n/a,0,""
168,"Midfoot",1,general,,n/a,0,""
169,"Metatarsus",1,general,,n/a,0,""
170,"Digits of foot",1,general,,n/a,0,""
171,"Great toe",1,general,,n/a,0,""
172,"Second toe",1,general,,n/a,0,""
173,"Third toe",1,general,,n/a,0,""
174,"Fourth toe",1,general,,n/a,0,""
175,"Little toe",1,general,,n/a,0,""
176,"Regions of human body",1,general,,n/a,0,""
177,"Regions of head",1,general,,n/a,0,""
178,"Regions of epicranium",1,general,,n/a,0,""
179,"Vertex",1,general,,n/a,0,""
180,"Frontal region",1,general,,n/a,0,""
181,"Eyebrow",1,general,,n/a,0,""
182,"Parietal region",1,general,,n/a,0,""
183,"Occipital region",1,general,,n/a,0,""
184,"Temporal region",1,general,,n/a,0,""
185,"Mastoid region",1,general,,n/a,0,""
186,"Auricular region",1,general,,n/a,0,""
187,"Triangular fossa",1,general,,n/a,0,""
188,"Scapha",1,general,,n/a,0,""
189,"Concha of auricle",1,general,,n/a,0,""
190,"Cymba conchae",1,general,,n/a,0,""
191,"Cavity of concha",1,general,,n/a,0,""
192,"Anterior notch of auricle",1,general,,n/a,0,""
193,"Intertragic incisure",1,general,,n/a,0,""
194,"(Auricular tubercle)",1,general,,n/a,0,""
195,"(Apex of auricle)",1,general,,n/a,0,""
196,"Posterior auricular groove",1,general,,n/a,0,""
197,"(Supratragic tubercle)",1,general,,n/a,0,""
198,"Fossa antihelica",1,general,,n/a,0,""
199,"Eminentia conchae",1,general,,n/a,0,""
200,"Eminentia scaphae",1,general,,n/a,0,""
201,"Eminentia fossae triangularis",1,general,,n/a,0,""
202,"Regions of face",1,general,,n/a,0,""
203,"Orbital region",1,general,,n/a,0,""
204,"Suprapalpebral sulcus",1,general,,n/a,0,""
205,"Palpebral fissure",1,general,,n/a,0,""
206,"Lateral palpebral commissure",1,general,,n/a,0,""
